,Contig,Breadth,Depth avg,Depth median,readsGB,expected_value,expected_value_int,err,AE,RAE,std_res
5,NZ_CP053893.1.region002,0.9546461290647336,20.609122066965465,5.0,0.07,4.151883982600997,4.0,0.8481160173990032,0.8481160173990032,0.2042725714285713,0.27747423995047676
6,NZ_CP053893.1.region005,0.9620835857056328,3.531918912112818,3.0,0.07,4.151883982600997,4.0,-1.1518839826009968,1.1518839826009968,0.2774364571428572,-0.3768566163430596
7,NC_014328.1.region003,0.9357170393215112,3.853537954475229,4.0,0.07,4.151883982600997,4.0,-0.15188398260099678,0.15188398260099678,0.03658194285714295,-0.049691188196291404
8,NZ_CP053893.1.region006,0.9669556840077072,4.137541097937631,4.0,0.07,4.151883982600997,4.0,-0.15188398260099678,0.15188398260099678,0.03658194285714295,-0.049691188196291404
9,NC_014328.1.region001,0.9657888937858088,3.796018481546974,4.0,0.07,4.151883982600997,4.0,-0.15188398260099678,0.15188398260099678,0.03658194285714295,-0.049691188196291404
10,NC_014328.1.region005,0.9553980825343892,3.927671126624006,3.0,0.07,4.151883982600997,4.0,-1.1518839826009968,1.1518839826009968,0.2774364571428572,-0.3768566163430596
11,NZ_LT906470.1.region002,0.9399640466154228,3.762324001714644,3.0,0.07,4.151883982600997,4.0,-1.1518839826009968,1.1518839826009968,0.2774364571428572,-0.3768566163430596
12,NZ_LT906470.1.region003,0.9809414466130884,4.229307116104869,4.0,0.07,4.151883982600997,4.0,-0.15188398260099678,0.15188398260099678,0.03658194285714295,-0.049691188196291404
13,NC_014328.1.region002,0.9580379181765664,3.3426159412345138,3.0,0.07,4.151883982600997,4.0,-1.1518839826009968,1.1518839826009968,0.2774364571428572,-0.3768566163430596
14,NZ_LT906445.1.region001,0.95244014732965,3.575868903175908,3.0,0.07,4.151883982600997,4.0,-1.1518839826009968,1.1518839826009968,0.2774364571428572,-0.3768566163430596
15,NZ_CP020566.1.region001,0.9772570323649924,3.864841946577472,4.0,0.07,4.151883982600997,4.0,-0.15188398260099678,0.15188398260099678,0.03658194285714295,-0.049691188196291404
0,NC_014328.1.region004,0.5884029128409245,1.580059958490276,1.0,0.02,1.1862525664574275,1.0,-0.1862525664574275,0.1862525664574275,0.15700919999999996,-0.06093540064847866
1,NZ_CP053893.1.region001,0.5831825982097305,1.7631620804835375,2.0,0.02,1.1862525664574275,1.0,0.8137474335425725,0.8137474335425725,0.6859816000000001,0.26623002749828956
2,NZ_LT906470.1.region001,0.57505791212547,1.6736445882586013,1.0,0.02,1.1862525664574275,1.0,-0.1862525664574275,0.1862525664574275,0.15700919999999996,-0.06093540064847866
3,NZ_CP053893.1.region004,0.6417491580773549,1.774350003975511,1.0,0.02,1.1862525664574275,1.0,-0.1862525664574275,0.1862525664574275,0.15700919999999996,-0.06093540064847866
4,NZ_CP053893.1.region003,0.6429832303618711,1.5571570197513918,1.0,0.02,1.1862525664574275,1.0,-0.1862525664574275,0.1862525664574275,0.15700919999999996,-0.06093540064847866
